id_unique;url;prix;cp;type;date_vente;status;titre
affiner vos résultats. Inscription aux alertes Recevez nos nouvelles ventes directement sur votre adresse email. Inscription Trier par Date croissante_None_None;https://avoventes.fr/recherche/toutes;;;Autre;;future;affiner vos résultats. Inscription aux alertes Recevez nos nouvelles ventes directement sur votre adresse email. Inscription Trier par Date croissante
Maison Maison d'habitation à LA PALME 36 Rue des Pensées, 11480 La Palme,_11480_99000;https://avoventes.fr/recherche/toutes;99000.0;11480.0;Maison;04/05/2026;terminee;Maison Maison d'habitation à LA PALME 36 Rue des Pensées, 11480 La Palme,
Appartement Appartement Type T3 et cellier à Montpellier 170 Rue des Yuccas, 34070 Montpellier,_34070_30000;https://avoventes.fr/recherche/toutes;30000.0;34070.0;Appartement;04/05/2026;retiree;Appartement Appartement Type T3 et cellier à Montpellier 170 Rue des Yuccas, 34070 Montpellier,
Maison UNE MAISON D’HABITATION à MEZE 46 Rue Des Amandiers, 34140 Mèze,_34140_200000;https://avoventes.fr/recherche/toutes;200000.0;34140.0;Maison;04/05/2026;terminee;Maison UNE MAISON D’HABITATION à MEZE 46 Rue Des Amandiers, 34140 Mèze,
Appartement APPARTEMENT + CAVE + PARKING à MONTPELLIER 419 Le Grand Mail, 34080 Montpellier,_34080_15000;https://avoventes.fr/recherche/toutes;15000.0;34080.0;Appartement;04/05/2026;terminee;Appartement APPARTEMENT + CAVE + PARKING à MONTPELLIER 419 Le Grand Mail, 34080 Montpellier,
Appartement APPARTEMENT AVEC JARDIN à FRONTIGNAN 14 Rue du Chasselas, 34110 Frontignan,_34110_120000;https://avoventes.fr/recherche/toutes;120000.0;34110.0;Appartement;04/05/2026;terminee;Appartement APPARTEMENT AVEC JARDIN à FRONTIGNAN 14 Rue du Chasselas, 34110 Frontignan,
Appartement APPARTEMENT + CAVE + EMPLACEMENT DE STATIONNEMENT à CLICHY SOUS BOIS 2 All. Maurice Audin, 93390 Clichy-sous-Bois,_93390_55000;https://avoventes.fr/recherche/toutes;55000.0;93390.0;Appartement;05/05/2026;terminee;Appartement APPARTEMENT + CAVE + EMPLACEMENT DE STATIONNEMENT à CLICHY SOUS BOIS 2 All. Maurice Audin, 93390 Clichy-sous-Bois,
UE + LABORATOIRE + CAVE + CONSTRUCTION EN PARPAINGS + jouissance exclusive de la cour A EPINAY SUR SEINE 54 Av. Gabriel Péri, 93800 Épinay-sur-Seine,_93800_70000;https://avoventes.fr/recherche/toutes;70000.0;93800.0;Local commercial;05/05/2026;terminee;UE + LABORATOIRE + CAVE + CONSTRUCTION EN PARPAINGS + jouissance exclusive de la cour A EPINAY SUR SEINE 54 Av. Gabriel Péri, 93800 Épinay-sur-Seine,
Autres PARCELLE comprenant 2 STUDIOS + LOCAL COMMERCIAL + 4 LOGEMENTS A SAINT-DENIS 9 Rue Aubert, 93200 Saint-Denis,_93200_100000;https://avoventes.fr/recherche/toutes;100000.0;93200.0;Local commercial;05/05/2026;retiree;Autres PARCELLE comprenant 2 STUDIOS + LOCAL COMMERCIAL + 4 LOGEMENTS A SAINT-DENIS 9 Rue Aubert, 93200 Saint-Denis,
Maison UNE MAISON À USAGE D’HABITATION À MONTHIEUX 121 Chem. du Mion, 01390 Monthieux,_01390_500000;https://avoventes.fr/recherche/toutes;500000.0;1390.0;Maison;05/05/2026;terminee;Maison UNE MAISON À USAGE D’HABITATION À MONTHIEUX 121 Chem. du Mion, 01390 Monthieux,
Maison MAISON A PONT D’AIN Rte de Bourg, 01160 Pont-d'Ain,_01160_120000;https://avoventes.fr/recherche/toutes;120000.0;1160.0;Maison;05/05/2026;terminee;Maison MAISON A PONT D’AIN Rte de Bourg, 01160 Pont-d'Ain,
Maison MAISON A TENAY 14 Rue Centrale, 01230 Tenay,_01230_20000;https://avoventes.fr/recherche/toutes;20000.0;1230.0;Maison;05/05/2026;terminee;Maison MAISON A TENAY 14 Rue Centrale, 01230 Tenay,
Appartement APPARTEMENT + CAVE à DRANCY 18 Rue Edouard Liévin, 93700 Drancy,_93700_25000;https://avoventes.fr/recherche/toutes;25000.0;93700.0;Appartement;05/05/2026;terminee;Appartement APPARTEMENT + CAVE à DRANCY 18 Rue Edouard Liévin, 93700 Drancy,
Appartement APPARTEMENT + CAVE à CLICHY SOUS BOIS 93390 Clichy-sous-Bois,_93390_39000;https://avoventes.fr/recherche/toutes;39000.0;93390.0;Appartement;05/05/2026;terminee;Appartement APPARTEMENT + CAVE à CLICHY SOUS BOIS 93390 Clichy-sous-Bois,
Maison MAISON D’HABITATION A NESLE-NORMANDEUSE 8 Rue aux Vaches, 76340 Nesle-Normandeuse,_76340_20000;https://avoventes.fr/recherche/toutes;20000.0;76340.0;Maison;06/05/2026;terminee;Maison MAISON D’HABITATION A NESLE-NORMANDEUSE 8 Rue aux Vaches, 76340 Nesle-Normandeuse,
Local commercial Local commercial + 3 boxes à RAMBOUILLET 36 Rue Raymond Patenotre, 78120 Rambouillet,_78120_32000;https://avoventes.fr/recherche/toutes;32000.0;78120.0;Local commercial;06/05/2026;terminee;Local commercial Local commercial + 3 boxes à RAMBOUILLET 36 Rue Raymond Patenotre, 78120 Rambouillet,
